"ndc","rxcui","va"
"00169183411",311027,"HS501"
"00169183711",213442,"HS501"
"00169185189",2264497,NA
"00169185550",1013738,NA
"00169210011",351926,"HS501"
"00169210125",1653204,"HS501"
"00169255013",1670023,"HS501"
"00169266015",1670016,"HS501"
"00169266211",2107522,"HS501"
"00169291115",1860172,"HS509"
"00169320111",1986354,"HS501"
"00169320415",1986356,"HS501"
"00169330312",1653198,"HS501"
"00169368512",977842,"HS501"
"00169368712",616238,"HS501"
"00169369619",977840,"HS501"
"00169406013",897126,"HS509"
"00169413013",2398842,"HS509"
"00169413212",1991311,"HS509"
"00169418113",2619154,"HS509"
"00169430330",2200654,"HS509"
"00169430713",2200658,"HS509"
"00169430730",2200658,"HS509"
"00169431430",2200650,"HS509"
"00169477212",2599365,"HS509"
"00169633910",1653204,"HS501"
"00169643210",847241,"HS501"
"00169643810",847241,"HS501"
"00169706515",153095,"HS503"
"00169750111",351926,"HS501"
"00169770321",849851,"HS701"
"00169770421",847247,"HS701"
"00169770521",847348,"HS701"
"00169770821",847245,"HS701"
"00172-5729-60",284245,"GA301"
"00172208360",310798,"CV701"
"00172208380",310798,"CV701"
"00172208980",197770,"CV701"
"00172392560",197590,"CN302"
"00172392570",197590,"CN302"
"00172392660",197591,"CN302"
"00172392670",197591,"CN302"
"00172392680",197591,"CN302"
"00172392760",197589,"CN302"
"00172392770",197589,"CN302"
"00172392780",197589,"CN302"
"00172409660",197391,"MS200"
"00172409680",197391,"MS200"
"00172409760",197392,"MS200"
"00172572860",310273,"GA301"
"00172572870",310273,"GA301"
"00172572880",310273,"GA301"
"00172572960",284245,"GA301"
"00172572970",284245,"GA301"
"00173060202",896023,"RE101"
"00173064460",108782,"CN400"
"00173068220",859088,"RE102"
"00173069500",896185,"RE109"
"00173069600",896212,"RE109"
"00173069700",896229,"RE109"
"00173071520",896237,"RE109"
"00173071620",896245,"RE109"
"00173071720",896273,"RE109"
"00173071820",895996,"RE101"
"00173071920",896001,"RE101"
"00173072020",896006,"RE101"
"00173085910",1539893,"RE109"
"00173086910",1487528,"RE109"
"00173087410",1547660,"RE101"
"00173087610",1547672,"RE101"
"00173088210",1648789,"RE109"
"00173088710",1945048,"RE109"
"00173088810",2045382,"RE101"
"00173089201",2170993,"RE109"
